translated_sentence1	translated_sentence2	pairID
Well, I didn’t even think about it, but I was so frustrated that I ended up talking to him.	I didn’t talk to him again.	4
Well, I didn’t even think about it, but I was so frustrated that I ended up talking to him.	I was taken so that I just started talking to him again.	5
Well, I didn’t even think about it, but I was so frustrated that I ended up talking to him.	We had a great conversation.	6
“And I thought that would be a privilege, and that’s still, that’s esi mmer yet. I was the only 229 Ex-O that was my AFCF Air Force career field.”	I was not aware that I was not the only person on the field that day.	7
“And I thought that would be a privilege, and that’s still, that’s esi mmer yet. I was the only 229 Ex-O that was my AFCF Air Force career field.”	I had the impression that I was the only one with this number in the AFCF Air Force Career Field.	8
“And I thought that would be a privilege, and that’s still, that’s esi mmer yet. I was the only 229 Ex-O that was my AFCF Air Force career field.”	We were all given the same number, regardless of what privileges were promised to us before.	9
They told me that at the end I would be called by a guy to meet me.	I was never told I would meet someone.	10
They told me that at the end I would be called by a guy to meet me.	I was told that a guy would get to know to meet me.	11
They told me that at the end I would be called by a guy to meet me.	The guy came a little late.	12
There’s so much I could tell about it, I’m just hoping over it.	I want to tell you everything I know about it!	13
There’s so much I could tell about it, I’m just hoping over it.	I’m not going to talk about it, though there’s a lot to cover.	14
There’s so much I could tell about it, I’m just hoping over it.	I will not talk about the history of the city because there is too much to say.	15
It was the most important thing we wanted to secure as there was no way to throw down a 20 megaton H bomb from a 30, C124.	We didn’t care to save anything.	19
It was the most important thing we wanted to secure as there was no way to throw down a 20 megaton H bomb from a 30, C124.	We wanted to save one thing more than the rest.	20
It was the most important thing we wanted to secure as there was no way to throw down a 20 megaton H bomb from a 30, C124.	We wanted to save the h bomb because it was so hard to deal with it.	21
So I am not really sure why.	I am sure about the reason.	28
So I am not really sure why.	I don’t know why he changed the school.	29
So I am not really sure why.	I don’t know why this happened.	30
This is Fannie Flono, she has grown up in Ag-Augusta, GA, and will talk about some memories from her childhood.	Fannie Flono had to replan and can't tell us stories today.	34
This is Fannie Flono, she has grown up in Ag-Augusta, GA, and will talk about some memories from her childhood.	Fannie Flono is here and she will talk to us about her childhood experiences as she grew up in Augusta, GA.	35
This is Fannie Flono, she has grown up in Ag-Augusta, GA, and will talk about some memories from her childhood.	Fannie Flono was able to talk to us today despite her full schedule.	36
And I had oh, five departments of U2	I worked with the U2.	40
And I had oh, five departments of U2	I did not deal with the U2.	41
And I had oh, five departments of U2	I worked with the U2’s dissolving every day for forty years.	42
