sentence1	sentence2	pairID	translated_sentence1	translated_sentence2
		4	Well, I didn’t even think about it, but I was so frustrated that I ended up talking to him.	I didn’t talk to him again.
		5	Well, I didn’t even think about it, but I was so frustrated that I ended up talking to him.	I was taken so that I just started talking to him again.
		6	Well, I didn’t even think about it, but I was so frustrated that I ended up talking to him.	We had a great conversation.
		7	“And I thought that would be a privilege, and that’s still, that’s esi mmer yet. I was the only 229 Ex-O that was my AFCF Air Force career field.”	I was not aware that I was not the only person on the field that day.
		8	“And I thought that would be a privilege, and that’s still, that’s esi mmer yet. I was the only 229 Ex-O that was my AFCF Air Force career field.”	I had the impression that I was the only one with this number in the AFCF Air Force Career Field.
		9	“And I thought that would be a privilege, and that’s still, that’s esi mmer yet. I was the only 229 Ex-O that was my AFCF Air Force career field.”	We were all given the same number, regardless of what privileges were promised to us before.
		10	They told me that at the end I would be called by a guy to meet me.	I was never told I would meet someone.
		11	They told me that at the end I would be called by a guy to meet me.	I was told that a guy would get to know to meet me.
		12	They told me that at the end I would be called by a guy to meet me.	The guy came a little late.
		14	There’s so much I could tell about it, I’m just hoping over it.	I’m not going to talk about it, though there’s a lot to cover.
		15	There’s so much I could tell about it, I’m just hoping over it.	I will not talk about the history of the city because there is too much to say.
		19	It was the most important thing we wanted to secure as there was no way to throw down a 20 megaton H bomb from a 30, C124.	We didn’t care to save anything.
		20	It was the most important thing we wanted to secure as there was no way to throw down a 20 megaton H bomb from a 30, C124.	We wanted to save one thing more than the rest.
		21	It was the most important thing we wanted to secure as there was no way to throw down a 20 megaton H bomb from a 30, C124.	We wanted to save the h bomb because it was so hard to deal with it.
		28	So I am not really sure why.	I am sure about the reason.
		29	So I am not really sure why.	I don’t know why he changed the school.
		30	So I am not really sure why.	I don’t know why this happened.
		34	This is Fannie Flono, she has grown up in Ag-Augusta, GA, and will talk about some memories from her childhood.	Fannie Flono had to replan and can't tell us stories today.
		36	This is Fannie Flono, she has grown up in Ag-Augusta, GA, and will talk about some memories from her childhood.	Fannie Flono was able to talk to us today despite her full schedule.
		40	And I had oh, five departments of U2	I worked with the U2.
		41	And I had oh, five departments of U2	I did not deal with the U2.
		42	And I had oh, five departments of U2	I worked with the U2’s dissolving every day for forty years.
		46	I am ah, Chief Master Sergeant, in retirement, as Rick said.	I am still working, until today.
		47	I am ah, Chief Master Sergeant, in retirement, as Rick said.	I retired in 2002.
		48	I am ah, Chief Master Sergeant, in retirement, as Rick said.	Rick told you I was retired.
		52	There are some cash flow projections on my desk and, oh, it’s for so and so Cutty, that’s the name of the customer.	The customer named Cutty earns $10,000 per month.
		53	There are some cash flow projections on my desk and, oh, it’s for so and so Cutty, that’s the name of the customer.	There is a client named Cutty.
		55	The girl who can help me is on the other side of the city.	The girl I need help lives in some distance.
		56	The girl who can help me is on the other side of the city.	The girl who will help me is 5 miles away.
