sentence1	sentence2	pairID	translated_sentence1	translated_sentence2
		4	Well, I didn’t think about it, but I was very disappointed, and, finally, I continued to talk to him again.	I am not talking to him anymore.
		5	Well, I didn’t think about it, but I was very disappointed, and, finally, I continued to talk to him again.	I was so sad that I started talking to him again.
		6	Well, I didn’t think about it, but I was very disappointed, and, finally, I continued to talk to him again.	We had a good discussion.
		7	I thought it was an opportunity, and yet, still, I was the only two-two Ex-O that was my AFFC Air Force Career.	I didn’t know that I was not the only one to be in the world today.
		8	I thought it was an opportunity, and yet, still, I was the only two-two Ex-O that was my AFFC Air Force Career.	I was under the feeling that I was the only one with that number in the AFFC Air Force Working Stadium.
		9	I thought it was an opportunity, and yet, still, I was the only two-two Ex-O that was my AFFC Air Force Career.	We all were given the same number regardless of the pollution we promised to be given, it was a lie.
		10	They told me that I eventually got a family with whom we met.	I was not told anything about meeting anyone.
		11	They told me that I eventually got a family with whom we met.	I was told that someone would be sent to me.
		12	They told me that I eventually got a family with whom we met.	He came to know it.
		14	There are a lot of things you can talk about, but I’ll just leave it.	I will not talk about it, though there is a lot to hide.
		15	There are a lot of things you can talk about, but I’ll just leave it.	I can't see the history of the city because there's a lot to say.
		19	This was the basic thing we had to save because it was not possible to deliver a 20 megaton hydrogen bomb to C124.	We did not think about saving anything.
		20	This was the basic thing we had to save because it was not possible to deliver a 20 megaton hydrogen bomb to C124.	We wanted to save one more than the other.
		21	This was the basic thing we had to save because it was not possible to deliver a 20 megaton hydrogen bomb to C124.	We wanted to save the H bomb because it was very difficult to cope with it.
		28	So I don’t really know why.	I am sure of the reason.
		29	So I don’t really know why.	I don’t know why he went to school.
		30	So I don’t really know why.	I don’t know why it happened.
		34	It's Fannie Flono, and she's born Ag - Augusta, GA, and she'll come to talk about some of the stories from her childhood.	Fannie Flono repeated the story and can't tell any of the stories today.
		36	It's Fannie Flono, and she's born Ag - Augusta, GA, and she'll come to talk about some of the stories from her childhood.	Fannie Flono was able to talk to us despite his constitutional activity.
		40	And I was putting, five doors out of the U2.	I’m in the U2.
		41	And I was putting, five doors out of the U2.	I did not work with U2.
		42	And I was putting, five doors out of the U2.	I worked with the U2 troops every day for four decades.
		46	The secretary-general, as Rick said.	I have been working until today.
		47	The secretary-general, as Rick said.	I died in 2002.
		48	The secretary-general, as Rick said.	Rick told me I was going back.
		52	There are estimates of money flow on my donation and, u, uh, is for and like Cutty, is the name of the client.	Cutty’s client earns $10,000 a month.
