sentence1	sentence2	pairID	translated_sentence1	translated_sentence2
		4	I didn’t ask about it, but I was so desperate to talk to it again.	I did not speak the same twice.
		5	I didn’t ask about it, but I was so desperate to talk to it again.	I was so worried that I started talking about it again.
		6	I didn’t ask about it, but I was so desperate to talk to it again.	Our word was very good.
		7	And I thought it was a score, and it’s still, it’s still, I was just two new, which was my AFFC Air Force Career Field.	I am in the midst of my mind, I am in the midst of my mind, I am in the midst of my mind, I am in the midst of my mind.
		8	And I thought it was a score, and it’s still, it’s still, I was just two new, which was my AFFC Air Force Career Field.	I understood that I only got this number in the A.F.F.C. Air Force Career Field.
		9	And I thought it was a score, and it’s still, it’s still, I was just two new, which was my AFFC Air Force Career Field.	We all were given the same number and the promise of what was promised was not taken into account, it was all a lie.
		10	They told me that in the end a man will come to me.	I didn’t tell anyone about the meeting.
		11	They told me that in the end a man will come to me.	I was told that a boy would be caught to meet me.
		12	They told me that in the end a man will come to me.	The boys late.
		14	It’s so much that you can talk about it. I just leave it.	I’m not going to talk about it, if there’s a lot to hide.
		15	It’s so much that you can talk about it. I just leave it.	Meanwhile, I'm sure I'm going to be a good guy, and I'm going to be a good guy.
		19	We’d bear him because he didn’t get 20 mega tons.	We didn’t want to save anything.
		20	We’d bear him because he didn’t get 20 mega tons.	We want to save more than one thing.
		21	We’d bear him because he didn’t get 20 mega tons.	We wanted to keep him back because it was very difficult.
		28	I am not sure why.	I am sure that’s because of that.
		29	I am not sure why.	Myey nahi maloom k usne school kiun badla.
		30	I am not sure why.	I don’t know why it happened.
		34	It’s Fini Flonio,and she’s a big house in Ag-Stana,Georgia,and she’s going to talk about some stories from her child.	Finnair has planned two times and he can't tell us a new story today.
		36	It’s Fini Flonio,and she’s a big house in Ag-Stana,Georgia,and she’s going to talk about some stories from her child.	Despite your expenditure, Fini Flone will talk to us today.
		40	And I made two of the five.	I’m going to deal with U 2.
		41	And I made two of the five.	I didn’t have to deal with U2.
		42	And I made two of the five.	I worked with food for four decades U2 I did every day.
		46	My sex is very interesting.	I am working until today.
		47	My sex is very interesting.	I returned in 2002.
		48	My sex is very interesting.	Rick told you that I was retreated.
		52	“If some of my tables had a flower assumption, and they were one of the cats, it was the name of the commander.”	Kitty’s name coins $10,000 a month.
		53	“If some of my tables had a flower assumption, and they were one of the cats, it was the name of the commander.”	The name is a guest.
		55	The girl who helps me is all in the city.	The girl I wanted to help, she stayed somewhere away.
		56	The girl who helps me is all in the city.	The girl who will help me is 5 miles away.
		57	The girl who helps me is all in the city.	There is no one who can help me.
		61	But they were divided like the field hand, and the children of the house, that was the division.	Everyone agreed that everyone will work in the field.
		62	But they were divided like the field hand, and the children of the house, that was the division.	He does not agree in this series that he will work out and who will see the order of the house.
		63	But they were divided like the field hand, and the children of the house, that was the division.	They do not agree on who will work in the food of the river and who will clean the carpet.
