sentence1	sentence2	pairID
Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.	Sijaongea na yeye tena.	4
Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.	Nilikasirika sana kwamba nikaanza kuzungumza naye tena.	5
Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.	Tulikuwa na majadiliano mazuri.	6
Nami nilifikiri kwamba ilikuwa ni fursa, na bado, bado, nilikuwa pekee wa tisa mbili na mbili Ex-O ambayo ilikuwa uwanja wangu wa AFFC Air Force Career.	Sikujua kwamba sikuwa mtu wa pekee kuwa uwanjani leo.	7
Nami nilifikiri kwamba ilikuwa ni fursa, na bado, bado, nilikuwa pekee wa tisa mbili na mbili Ex-O ambayo ilikuwa uwanja wangu wa AFFC Air Force Career.	Nilikuwa chini ya hisia kwamba nilikuwa pekee na nambari hiyo katika uwanja wa Kazi ya Air Force ya AFFC.	8
Nami nilifikiri kwamba ilikuwa ni fursa, na bado, bado, nilikuwa pekee wa tisa mbili na mbili Ex-O ambayo ilikuwa uwanja wangu wa AFFC Air Force Career.	Sisi sote tumepewa idadi sawa sawa bila kujali marupurupu tuliyoahidi kupewa, ilikuwa ni uongo.	9
Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.	Sikuambiwa chochote kuhusu kukutana na mtu yeyote.	10
Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.	Niliambiwa mtu angeitwa aje ili nikutane naye.	11
Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.	Alikuja akiwa amechelewa.	12
Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.	Nataka kukuambia kila kitu ninachokijua kuhusu mambo hayo	13
Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.	Sitaongelea mambo hayo, ingawa kuna mengi ya kuficha.	14
Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.	Siwezi ongelea histroria ya mji maana kuna mengi ya kusema.	15
hicho ndio kilikuwa kitu cha msingi tulichotka kuokoa kwa sababu haingewezakana kutupa bomu la hidrojeni megatoni 20  kwenye C124.	Hatukujali kuhusu kuokoa chochote.	19
hicho ndio kilikuwa kitu cha msingi tulichotka kuokoa kwa sababu haingewezakana kutupa bomu la hidrojeni megatoni 20  kwenye C124.	Tulitaka kuokoa kitu kimoja zaidi kuliko vingine.	20
hicho ndio kilikuwa kitu cha msingi tulichotka kuokoa kwa sababu haingewezakana kutupa bomu la hidrojeni megatoni 20  kwenye C124.	Tulitaka kuokoa bomu ya h kwa sababu ilikuwa ngumu sana kukabiliana nayo.	21
Hivyo, sijui kwa kweli nu kwa nini.	Nina uhakika wa sababu.	28
Hivyo, sijui kwa kweli nu kwa nini.	Sijui kwa nini alihamisha shule.	29
Hivyo, sijui kwa kweli nu kwa nini.	Sijui ni kwa nini hilo lilitendeka.	30
Huyu ni Fannie Flono, na yeye alikulia Ag - Augusta, GA, na yeye atakuja kuzungumza kuhusu baadhi ya hadithi kutoka utoto wake.	Fannie Flono alirudia ratiba na hawezi kutuambia hadithi zozote leo.	34
Huyu ni Fannie Flono, na yeye alikulia Ag - Augusta, GA, na yeye atakuja kuzungumza kuhusu baadhi ya hadithi kutoka utoto wake.	Fannie Flono yuko hapa na atatuzungumzia kuhusu hadithi za utoto wake kutoka kukua huko Augusta, GA.	35
Huyu ni Fannie Flono, na yeye alikulia Ag - Augusta, GA, na yeye atakuja kuzungumza kuhusu baadhi ya hadithi kutoka utoto wake.	Fannie Flono aliweza kutuzungumzia licha ya shughuli ya ratiba yake.	36
Na nilikuwa nimeweka, milango mitano nje ya U2's.	Nlihusika na  U2's.	40
Na nilikuwa nimeweka, milango mitano nje ya U2's.	Sikufanya kazi na U2 kabisa.	41
Na nilikuwa nimeweka, milango mitano nje ya U2's.	Nilifanya kazi na vikosi vya U2  kila siku kwa miaka arobaini.	42
Ni mimi pekee nilikua nayo uh, ushawahi endeleza dhibiti za majaribio katika chumba cha 'miniature altitude'.	Sikupenda kuwa wa pekee kwa kuendesha wasimamizi wa vipimo.	43
Ni mimi pekee nilikua nayo uh, ushawahi endeleza dhibiti za majaribio katika chumba cha 'miniature altitude'.	Majaribio yalifanyiwa kwa miniature altitude chambers.	44
Ni mimi pekee nilikua nayo uh, ushawahi endeleza dhibiti za majaribio katika chumba cha 'miniature altitude'.	Kulikuwa na wachache wetu waliokimbiza wasimamizi kwa ajili ya mtihani.	45
Mstaafu sergenti mkuu, kama alivyosma Rick.	Bado nafanya kazi hadi leo hii.	46
Mstaafu sergenti mkuu, kama alivyosma Rick.	Nilistaafu mwaka wa 2002.	47
Mstaafu sergenti mkuu, kama alivyosma Rick.	Rick alikuambia kuwa nilikuwa nimestaafu.	48
Kuna makadirio ya mtiririko wa fedha kwenye dawati yangu na, um, uh, ni kwa na kama vile Cutty, ndiyo jina la mteja.	Mteja aitwaye Cutty hufanya $ 10000 kwa mwezi.	52
Kuna makadirio ya mtiririko wa fedha kwenye dawati yangu na, um, uh, ni kwa na kama vile Cutty, ndiyo jina la mteja.	Kuna mteja aitwaye Cutty.	53
Kuna makadirio ya mtiririko wa fedha kwenye dawati yangu na, um, uh, ni kwa na kama vile Cutty, ndiyo jina la mteja.	Hatuna wateja wowote walioitwa Cutty.	54
Huyu msichana anaweza kukusaidia kuenda popote utakapo mjini.	Msichana ninayehitaji msaada kutoka kwake anaishi mbali.	55
Huyu msichana anaweza kukusaidia kuenda popote utakapo mjini.	Msichana ambaye atanisaidia ako maili 5 mbali.	56
Huyu msichana anaweza kukusaidia kuenda popote utakapo mjini.	Hakuna mtu anayeweza kunisaidia.	57
walipingana kuhusa ni akina nani walikuwa vijana wa mikono na ni akina nani walikuwa vijana wa kushinda nyumbani. Ilikuwa...	Walikubaliana wote watafanya kazi kwenye viwanja	61
walipingana kuhusa ni akina nani walikuwa vijana wa mikono na ni akina nani walikuwa vijana wa kushinda nyumbani. Ilikuwa...	Hawakukubalia nani alikuwa kwenye ukumbi na nyumbali.	62
walipingana kuhusa ni akina nani walikuwa vijana wa mikono na ni akina nani walikuwa vijana wa kushinda nyumbani. Ilikuwa...	Hawakuweza kukubaliana nani anayetakiwa kufanya kazi katika shamba la pamba na nani anapaswa kupiga sakafu deki.	63
Leo atatuzungumzia kuhusu majeshi ya Third SS, u2 Quick na Blackbird.	Ameamua kutoongea tena.	67
Leo atatuzungumzia kuhusu majeshi ya Third SS, u2 Quick na Blackbird.	Huwa anazungumza kuhusu aina tatu tofauti za submarines.	68
Leo atatuzungumzia kuhusu majeshi ya Third SS, u2 Quick na Blackbird.	Anazungumzia mambo matatu.	69
Namaanisha kwamba walikuwa na wana watano, mmoja wao akafa.	Watoto wao wote walinusurika.	70
Namaanisha kwamba walikuwa na wana watano, mmoja wao akafa.	Mtoto mmoja alikiufa kati ya wale watano.	71
Namaanisha kwamba walikuwa na wana watano, mmoja wao akafa.	Mtoto aliyekufa alizaliwa akiwa mgonjwa-mgonjwa.	72
Na, kwa kweli, Androv Gromikov hakujibu kitu chochote, lakini tulikuwa na habari zote kutoka kwa filamu za U2 zilizochukuliwa.	U2 ilichukua filamu nyingi.	73
Na, kwa kweli, Androv Gromikov hakujibu kitu chochote, lakini tulikuwa na habari zote kutoka kwa filamu za U2 zilizochukuliwa.	U2 walichukua filamu nyingi sana chini ya maji.	74
Na, kwa kweli, Androv Gromikov hakujibu kitu chochote, lakini tulikuwa na habari zote kutoka kwa filamu za U2 zilizochukuliwa.	Hatukuwa na picha, ilitulazimu kukisia tu.	75
Alisema kwamba machozi ylikuwa yanamtiririka kutoka usoni. Alafu akasema pia Joe alishuka kutoka ukumbini.	Alipokuwa akimwambia aje kwenye ukumbi alikuwa na machozi machoni mwake.	76
Alisema kwamba machozi ylikuwa yanamtiririka kutoka usoni. Alafu akasema pia Joe alishuka kutoka ukumbini.	Kwa haraka alipanguza machozi baada ya kumtupa Joe kutoka kwenye ukumbi.	77
