sentence1	sentence2	pairID
میں اس کے بارے میں نہیں سوچھ رہی تھی ، لیکن میں اتنی مایوس تھی کہ اس سے دوبارہ بات کرنے لگی۔	میں نی اسی دوبارا بات نھی کی	4
میں اس کے بارے میں نہیں سوچھ رہی تھی ، لیکن میں اتنی مایوس تھی کہ اس سے دوبارہ بات کرنے لگی۔	میں اتنا زیادہ مضطرب تھا کہ میں نے اس سے دوبارہ بات چیت کرنا شروع کردیا۔	5
میں اس کے بارے میں نہیں سوچھ رہی تھی ، لیکن میں اتنی مایوس تھی کہ اس سے دوبارہ بات کرنے لگی۔	ہماری بات چیت بہت اچھی رہی۔	6
اور میں نے سوچا کہ یہ ایک امتیاز تھا، اور یہ ابھی بھی ہے، یہ ابھی بھی ہے، میں صرف نو دو دو تھا، جو میرا AFFC ایئر فورس کیریئر فیلڈ تھا.	mjhey iss barey mein ilam nahi tha k mein wahid bnda nahi hun jo k us din field mein tha.	7
اور میں نے سوچا کہ یہ ایک امتیاز تھا، اور یہ ابھی بھی ہے، یہ ابھی بھی ہے، میں صرف نو دو دو تھا، جو میرا AFFC ایئر فورس کیریئر فیلڈ تھا.	میں سمجھ رہا تھا کہ اے ایف ایف سی  ائیر فورس کیرئیر فلیڈ میں  یہ نمبر صرف مجھے حاصل تھا۔	8
اور میں نے سوچا کہ یہ ایک امتیاز تھا، اور یہ ابھی بھی ہے، یہ ابھی بھی ہے، میں صرف نو دو دو تھا، جو میرا AFFC ایئر فورس کیریئر فیلڈ تھا.	ہم سب کو ایک ہی نمبر دیا گیا تھا ہم سے جن جن مراعات کا وعدہ کیا گیا تھا اس کا کوئی لحاظ نہیں کیا گیا تھا، یہ سب کچھ جھوٹ تھا۔	9
انہوں نے مجھے بتایا تھا کے آخر میں مجھ سے ملنے کے لۂے ایک آدمی بلایا جاۂے گا	مجھے کسی سے ملاقات کے سلسلہ میں کچھ بھی نہیں بتایا گیا۔	10
انہوں نے مجھے بتایا تھا کے آخر میں مجھ سے ملنے کے لۂے ایک آدمی بلایا جاۂے گا	مجھ کو کہا گیا تھا کہ مجھ سے ملاقات کرنے کے لیے ایک لڑکے کو بلایا جائے گا۔	11
انہوں نے مجھے بتایا تھا کے آخر میں مجھ سے ملنے کے لۂے ایک آدمی بلایا جاۂے گا	لڑکے دیر سے اۓ	12
بہت اتنا ہے کہ آپ اس کے بارے میں بات کر سکتے ہیں. میں صرف اس کو چھوڑ دونگا.	mein tmhain uske barey mein sb kuch btana chahty hun jo kuch mein janty hun!	13
بہت اتنا ہے کہ آپ اس کے بارے میں بات کر سکتے ہیں. میں صرف اس کو چھوڑ دونگا.	میں اس کے بارے میں بات نہیں کروں گا‏، اگر چہ چھپانے کے لیے بہت کچھ ہے۔	14
بہت اتنا ہے کہ آپ اس کے بارے میں بات کر سکتے ہیں. میں صرف اس کو چھوڑ دونگا.	mein sheher ki tareekh k barey mein kuch nahi kahun g kiun k buht kuch hai uske barey mein btaney ko.	15
ہم اس ہی کو بچانا چاھتے تھے کیونکہ 20 میگا ٹن بم کو پھینکنے کا کوۂی طریکہ نہیں تھا	ہم نے کچھ بھی بچانے کی پرواہ نہیں کی	19
ہم اس ہی کو بچانا چاھتے تھے کیونکہ 20 میگا ٹن بم کو پھینکنے کا کوۂی طریکہ نہیں تھا	ہم بقیہ چیزوں سے زیادہ صرف ایک چیز کو محفوظ کرنا چاہتے تھے۔	20
