translated_sentence1	translated_sentence2	pairID
I didn’t ask about it, but I was so desperate to talk to it again.	I did not speak the same twice.	4
I didn’t ask about it, but I was so desperate to talk to it again.	I was so worried that I started talking about it again.	5
I didn’t ask about it, but I was so desperate to talk to it again.	Our word was very good.	6
And I thought it was a score, and it’s still, it’s still, I was just two new, which was my AFFC Air Force Career Field.	I am in the midst of my mind, I am in the midst of my mind, I am in the midst of my mind, I am in the midst of my mind.	7
And I thought it was a score, and it’s still, it’s still, I was just two new, which was my AFFC Air Force Career Field.	I understood that I only got this number in the A.F.F.C. Air Force Career Field.	8
And I thought it was a score, and it’s still, it’s still, I was just two new, which was my AFFC Air Force Career Field.	We all were given the same number and the promise of what was promised was not taken into account, it was all a lie.	9
They told me that in the end a man will come to me.	I didn’t tell anyone about the meeting.	10
They told me that in the end a man will come to me.	I was told that a boy would be caught to meet me.	11
They told me that in the end a man will come to me.	The boys late.	12
It’s so much that you can talk about it. I just leave it.	Mein tmhain uske barey mein sb kuch btana chahty hun jo kuch mein janty hun!	13
It’s so much that you can talk about it. I just leave it.	I’m not going to talk about it, if there’s a lot to hide.	14
It’s so much that you can talk about it. I just leave it.	Meanwhile, I'm sure I'm going to be a good guy, and I'm going to be a good guy.	15
We’d bear him because he didn’t get 20 mega tons.	We didn’t want to save anything.	19
We’d bear him because he didn’t get 20 mega tons.	We want to save more than one thing.	20
We’d bear him because he didn’t get 20 mega tons.	We wanted to keep him back because it was very difficult.	21
I am not sure why.	I am sure that’s because of that.	28
I am not sure why.	Myey nahi maloom k usne school kiun badla.	29
I am not sure why.	I don’t know why it happened.	30
It’s Fini Flonio,and she’s a big house in Ag-Stana,Georgia,and she’s going to talk about some stories from her child.	Finnair has planned two times and he can't tell us a new story today.	34
It’s Fini Flonio,and she’s a big house in Ag-Stana,Georgia,and she’s going to talk about some stories from her child.	Fannie Flono yahan a gi hain or wo hum se apnay bachpan ki kahaniyan August, GA mein baray honay kay bare mein batain gi	35
It’s Fini Flonio,and she’s a big house in Ag-Stana,Georgia,and she’s going to talk about some stories from her child.	Despite your expenditure, Fini Flone will talk to us today.	36
And I made two of the five.	I’m going to deal with U 2.	40
And I made two of the five.	I didn’t have to deal with U2.	41
And I made two of the five.	I worked with food for four decades U2 I did every day.	42
Mai akela hi tha jisne kabhi chote altitude chambers test karne kai lye regulators ko run kiya tha.	I didn’t like to be alone when running the regulators for the test.	43
Mai akela hi tha jisne kabhi chote altitude chambers test karne kai lye regulators ko run kiya tha.	This is done in small-scale spaces.	44
Mai akela hi tha jisne kabhi chote altitude chambers test karne kai lye regulators ko run kiya tha.	We were among those who feared the people.	45
My sex is very interesting.	I am working until today.	46
My sex is very interesting.	I returned in 2002.	47
My sex is very interesting.	Rick told you that I was retreated.	48
“If some of my tables had a flower assumption, and they were one of the cats, it was the name of the commander.”	Kitty’s name coins $10,000 a month.	52
“If some of my tables had a flower assumption, and they were one of the cats, it was the name of the commander.”	The name is a guest.	53
“If some of my tables had a flower assumption, and they were one of the cats, it was the name of the commander.”	Hamaray pass Cutty nam ke koi ghak nahi hain.	54
The girl who helps me is all in the city.	The girl I wanted to help, she stayed somewhere away.	55
The girl who helps me is all in the city.	The girl who will help me is 5 miles away.	56
The girl who helps me is all in the city.	There is no one who can help me.	57
But they were divided like the field hand, and the children of the house, that was the division.	Everyone agreed that everyone will work in the field.	61
But they were divided like the field hand, and the children of the house, that was the division.	He does not agree in this series that he will work out and who will see the order of the house.	62
But they were divided like the field hand, and the children of the house, that was the division.	They do not agree on who will work in the food of the river and who will clean the carpet.	63
Today he will talk to us about the third SS, U2 Quick and Blackbird.	He decided not to talk again.	67
Today he will talk to us about the third SS, U2 Quick and Blackbird.	They talk about three different subjects.	68
Today he will talk to us about the third SS, U2 Quick and Blackbird.	He talks about three things.	69
I mean they were just like, they had five children, one of them died.	All of their children were rescued.	70
I mean they were just like, they had five children, one of them died.	Panch mein se aik bacha marr gya.	71
