translated_sentence1	translated_sentence2	pairID
Well, I was not thinking about it, but I was so frustrated and I started talking to him again.	I haven’t talked to him again.	4
Well, I was not thinking about it, but I was so frustrated and I started talking to him again.	I was so annoying that I started talking to him again.	5
Well, I was not thinking about it, but I was so frustrated and I started talking to him again.	We had a great conversation.	6
And I thought it was a privilege, and it’s still, it’s still, I was the only 922 Ex-O that was in my AFFC race field of the Air Force.	I didn’t know that he was not the only person in the field that day.	7
And I thought it was a privilege, and it’s still, it’s still, I was the only 922 Ex-O that was in my AFFC race field of the Air Force.	He had the impression that he was the only one with that number in the AFFC Air Force Career field.	8
And I thought it was a privilege, and it’s still, it’s still, I was the only 922 Ex-O that was in my AFFC race field of the Air Force.	All of us were given the same exact number, regardless of the privileges they promised to be granted to us, everything was a lie.	9
They told me, this... that a guy would call me at the end to see us.	They never told me anything about meeting someone.	10
They told me, this... that a guy would call me at the end to see us.	They told me they would call a guy to get to know me.	11
They told me, this... that a guy would call me at the end to see us.	The guy appeared a little late.	12
There’s so much that can be said about that, that I’m just going to jump that.	I want to tell you everything I know about it!	13
There’s so much that can be said about that, that I’m just going to jump that.	I’m not going to talk about it, though there’s a lot to cover.	14
There’s so much that can be said about that, that I’m just going to jump that.	I’m not going to talk about the history of the city because there’s a lot to say.	15
That was the most important thing we wanted to save, since there was no way to launch a hydrogen pump from about 30, a C124.	We didn’t care to keep anything.	19
That was the most important thing we wanted to save, since there was no way to launch a hydrogen pump from about 30, a C124.	We wanted to save one thing more than the rest.	20
That was the most important thing we wanted to save, since there was no way to launch a hydrogen pump from about 30, a C124.	We wanted to save the H-bump because it was very difficult to handle.	21
So I am not very clear why.	I am sure the reason for which.	28
So I am not very clear why.	I don’t know why he moved the schools.	29
So I am not very clear why.	I don’t know why that happened.	30
He grew up in Ag-- Augusta, GA, and will talk about some stories of his childhood.	Fannie Flono had to reprogram and can't tell us any story today.	34
He grew up in Ag-- Augusta, GA, and will talk about some stories of his childhood.	Fannie Flono is here and will tell us about her childhood stories when she grew up in Augusta, GA.	35
He grew up in Ag-- Augusta, GA, and will talk about some stories of his childhood.	Fannie Flono was able to talk to us today despite his tight agenda.	36
And he had thrown five U2 outcomes.	I have dealt with the U2.	40
And he had thrown five U2 outcomes.	I didn’t get to the U2 at all.	41
And he had thrown five U2 outcomes.	I worked with the U2 outlets every day for forty years.	42
I was the only one ever running regulators for the test on miniature height cameras.	I didn’t like to be the only one to run the regulators for the tests.	43
I was the only one ever running regulators for the test on miniature height cameras.	The tests were carried out on miniature height cameras.	44
I was the only one ever running regulators for the test on miniature height cameras.	There were some of us who directed the regulators for the test.	45
I am, this, the sergent chief master, retired, as Rick said.	I am still working for this day.	46
I am, this, the sergent chief master, retired, as Rick said.	I retired in 2002.	47
I am, this, the sergent chief master, retired, as Rick said.	Rick told you he was withdrawn.	48
There are some projections of the box flow and, uh, eh, it’s for that and what Cutty, the customer’s name.	The customer called Cutty earns $10,000 a month.	52
There are some projections of the box flow and, uh, eh, it’s for that and what Cutty, the customer’s name.	There is a client named Cutty.	53
There are some projections of the box flow and, uh, eh, it’s for that and what Cutty, the customer’s name.	We don’t have customers called Cutty.	54
The girl who can help me is on the other edge of the city.	The girl I need help lives far away.	55
The girl who can help me is on the other edge of the city.	The girl who will help me is 5 miles away.	56
The girl who can help me is on the other edge of the city.	There is no one who can help me.	57
But they were divided about who the hands of the countryside and who the children of the house were.	Everyone agreed that everyone would work in the field.	61
But they were divided about who the hands of the countryside and who the children of the house were.	They could not agree on who was a field hand and who belonged to the house.	62
But they were divided about who the hands of the countryside and who the children of the house were.	They could not agree with who should work on the cotton field and who should fregate the floors.	63
Today we will talk about the Third SS, the U2 Quick and the Blackbird.	He decided not to speak anymore.	67
Today we will talk about the Third SS, the U2 Quick and the Blackbird.	He talks about three different submarines.	68
Today we will talk about the Third SS, the U2 Quick and the Blackbird.	He talks about three things.	69
I mean they only had, something like, five children, one of them died.	All his children survived.	70
I mean they only had, something like, five children, one of them died.	A child died of five.	71
I mean they only had, something like, five children, one of them died.	The child who died was born with health problems.	72
And, of course, Androv Gromikov did not respond to anything, but we had all the information about the films made by the U2.	The U2 took a lot of movie.	73
And, of course, Androv Gromikov did not respond to anything, but we had all the information about the films made by the U2.	The U2 took a ton of film under the water.	74
And, of course, Androv Gromikov did not respond to anything, but we had all the information about the films made by the U2.	We didn’t have any file material, so we had to guess.	75
He said that tears fell from his eyes, and then he said that Joe went to the porch.	When he told him to go to the porch, he had tears in his eyes.	76
He said that tears fell from his eyes, and then he said that Joe went to the porch.	She quickly drowned her tears after throwing Joe out of the porch.	77
He said that tears fell from his eyes, and then he said that Joe went to the porch.	I was so happy to see Joe that he began to cry.	78
Even if the aircraft was in flames, why would it burn and die if it has a lead component for radiation to be filtered?	Radiation can also be contained during a fire.	79
Even if the aircraft was in flames, why would it burn and die if it has a lead component for radiation to be filtered?	The radiation would be filtered from a main component after the plane burns.	80
Even if the aircraft was in flames, why would it burn and die if it has a lead component for radiation to be filtered?	The radiation would not be filtered during a fire.	81
This is the Sergeant Chief Master Clem Francis, retired from the U.S. Air Force.	He is withdrawn from the U.S. Air Force.	88
This is the Sergeant Chief Master Clem Francis, retired from the U.S. Air Force.	The head recently retired a few weeks ago.	89
This is the Sergeant Chief Master Clem Francis, retired from the U.S. Air Force.	The head of the U.S. Air Force has just started his career this week.	90
Well, it came to the point that there are two or three aircraft coming in a week and I didn’t know where they were flying.	More than one aircraft arrives every week.	91
Well, it came to the point that there are two or three aircraft coming in a week and I didn’t know where they were flying.	The increase in air traffic is problematic.	92
Well, it came to the point that there are two or three aircraft coming in a week and I didn’t know where they were flying.	No aircraft ever arrived.	93
They had already had their training on presurized clothes and I had spent some time putting me a presurized dress.	It takes three months to complete the training in the use of a pressure costume.	94
