language,sentence1,sentence2,pairID
sw,"Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.",Sijaongea na yeye tena.,4
sw,"Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.",Nilikasirika sana kwamba nikaanza kuzungumza naye tena.,5
sw,"Naam, sikukuwa nafikiri juu ya hilo, lakini nilichanganyikiwa sana, na, hatimaye nikaendelea kuzungumza naye tena.",Tulikuwa na majadiliano mazuri.,6
sw,"Nami nilifikiri kwamba ilikuwa ni fursa, na bado, bado, nilikuwa pekee wa tisa mbili na mbili Ex-O ambayo ilikuwa uwanja wangu wa AFFC Air Force Career.",Sikujua kwamba sikuwa mtu wa pekee kuwa uwanjani leo.,7
sw,"Nami nilifikiri kwamba ilikuwa ni fursa, na bado, bado, nilikuwa pekee wa tisa mbili na mbili Ex-O ambayo ilikuwa uwanja wangu wa AFFC Air Force Career.",Nilikuwa chini ya hisia kwamba nilikuwa pekee na nambari hiyo katika uwanja wa Kazi ya Air Force ya AFFC.,8
sw,"Nami nilifikiri kwamba ilikuwa ni fursa, na bado, bado, nilikuwa pekee wa tisa mbili na mbili Ex-O ambayo ilikuwa uwanja wangu wa AFFC Air Force Career.","Sisi sote tumepewa idadi sawa sawa bila kujali marupurupu tuliyoahidi kupewa, ilikuwa ni uongo.",9
sw,Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.,Sikuambiwa chochote kuhusu kukutana na mtu yeyote.,10
sw,Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.,Niliambiwa mtu angeitwa aje ili nikutane naye.,11
sw,Walinieleza ya kwamba mwishowe ningeitiwa jamaa fulani ambaye tungepatana naye.,Alikuja akiwa amechelewa.,12
sw,Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.,Nataka kukuambia kila kitu ninachokijua kuhusu mambo hayo,13
sw,Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.,"Sitaongelea mambo hayo, ingawa kuna mengi ya kuficha.",14
sw,Kuna mengi ambayo unaweza kuzungumzia kuhusu hilo lakini  nitaachana nayo tu.,Siwezi ongelea histroria ya mji maana kuna mengi ya kusema.,15
sw,hicho ndio kilikuwa kitu cha msingi tulichotka kuokoa kwa sababu haingewezakana kutupa bomu la hidrojeni megatoni 20  kwenye C124.,Hatukujali kuhusu kuokoa chochote.,19
sw,hicho ndio kilikuwa kitu cha msingi tulichotka kuokoa kwa sababu haingewezakana kutupa bomu la hidrojeni megatoni 20  kwenye C124.,Tulitaka kuokoa kitu kimoja zaidi kuliko vingine.,20
sw,hicho ndio kilikuwa kitu cha msingi tulichotka kuokoa kwa sababu haingewezakana kutupa bomu la hidrojeni megatoni 20  kwenye C124.,Tulitaka kuokoa bomu ya h kwa sababu ilikuwa ngumu sana kukabiliana nayo.,21
sw,"Hivyo, sijui kwa kweli nu kwa nini.",Nina uhakika wa sababu.,28
sw,"Hivyo, sijui kwa kweli nu kwa nini.",Sijui kwa nini alihamisha shule.,29
sw,"Hivyo, sijui kwa kweli nu kwa nini.",Sijui ni kwa nini hilo lilitendeka.,30
sw,"Huyu ni Fannie Flono, na yeye alikulia Ag - Augusta, GA, na yeye atakuja kuzungumza kuhusu baadhi ya hadithi kutoka utoto wake.",Fannie Flono alirudia ratiba na hawezi kutuambia hadithi zozote leo.,34
sw,"Huyu ni Fannie Flono, na yeye alikulia Ag - Augusta, GA, na yeye atakuja kuzungumza kuhusu baadhi ya hadithi kutoka utoto wake.","Fannie Flono yuko hapa na atatuzungumzia kuhusu hadithi za utoto wake kutoka kukua huko Augusta, GA.",35
sw,"Huyu ni Fannie Flono, na yeye alikulia Ag - Augusta, GA, na yeye atakuja kuzungumza kuhusu baadhi ya hadithi kutoka utoto wake.",Fannie Flono aliweza kutuzungumzia licha ya shughuli ya ratiba yake.,36
sw,"Na nilikuwa nimeweka, milango mitano nje ya U2's.",Nlihusika na  U2's.,40
sw,"Na nilikuwa nimeweka, milango mitano nje ya U2's.",Sikufanya kazi na U2 kabisa.,41
sw,"Na nilikuwa nimeweka, milango mitano nje ya U2's.",Nilifanya kazi na vikosi vya U2  kila siku kwa miaka arobaini.,42
sw,"Ni mimi pekee nilikua nayo uh, ushawahi endeleza dhibiti za majaribio katika chumba cha 'miniature altitude'.",Sikupenda kuwa wa pekee kwa kuendesha wasimamizi wa vipimo.,43
sw,"Ni mimi pekee nilikua nayo uh, ushawahi endeleza dhibiti za majaribio katika chumba cha 'miniature altitude'.",Majaribio yalifanyiwa kwa miniature altitude chambers.,44
sw,"Ni mimi pekee nilikua nayo uh, ushawahi endeleza dhibiti za majaribio katika chumba cha 'miniature altitude'.",Kulikuwa na wachache wetu waliokimbiza wasimamizi kwa ajili ya mtihani.,45
sw,"Mstaafu sergenti mkuu, kama alivyosma Rick.",Bado nafanya kazi hadi leo hii.,46
sw,"Mstaafu sergenti mkuu, kama alivyosma Rick.",Nilistaafu mwaka wa 2002.,47
sw,"Mstaafu sergenti mkuu, kama alivyosma Rick.",Rick alikuambia kuwa nilikuwa nimestaafu.,48
sw,"Kuna makadirio ya mtiririko wa fedha kwenye dawati yangu na, um, uh, ni kwa na kama vile Cutty, ndiyo jina la mteja.",Mteja aitwaye Cutty hufanya $ 10000 kwa mwezi.,52
sw,"Kuna makadirio ya mtiririko wa fedha kwenye dawati yangu na, um, uh, ni kwa na kama vile Cutty, ndiyo jina la mteja.",Kuna mteja aitwaye Cutty.,53
sw,"Kuna makadirio ya mtiririko wa fedha kwenye dawati yangu na, um, uh, ni kwa na kama vile Cutty, ndiyo jina la mteja.",Hatuna wateja wowote walioitwa Cutty.,54
sw,Huyu msichana anaweza kukusaidia kuenda popote utakapo mjini.,Msichana ninayehitaji msaada kutoka kwake anaishi mbali.,55
sw,Huyu msichana anaweza kukusaidia kuenda popote utakapo mjini.,Msichana ambaye atanisaidia ako maili 5 mbali.,56
sw,Huyu msichana anaweza kukusaidia kuenda popote utakapo mjini.,Hakuna mtu anayeweza kunisaidia.,57
sw,walipingana kuhusa ni akina nani walikuwa vijana wa mikono na ni akina nani walikuwa vijana wa kushinda nyumbani. Ilikuwa...,Walikubaliana wote watafanya kazi kwenye viwanja,61
sw,walipingana kuhusa ni akina nani walikuwa vijana wa mikono na ni akina nani walikuwa vijana wa kushinda nyumbani. Ilikuwa...,Hawakukubalia nani alikuwa kwenye ukumbi na nyumbali.,62
sw,walipingana kuhusa ni akina nani walikuwa vijana wa mikono na ni akina nani walikuwa vijana wa kushinda nyumbani. Ilikuwa...,Hawakuweza kukubaliana nani anayetakiwa kufanya kazi katika shamba la pamba na nani anapaswa kupiga sakafu deki.,63
sw,"Leo atatuzungumzia kuhusu majeshi ya Third SS, u2 Quick na Blackbird.",Ameamua kutoongea tena.,67
sw,"Leo atatuzungumzia kuhusu majeshi ya Third SS, u2 Quick na Blackbird.",Huwa anazungumza kuhusu aina tatu tofauti za submarines.,68
sw,"Leo atatuzungumzia kuhusu majeshi ya Third SS, u2 Quick na Blackbird.",Anazungumzia mambo matatu.,69
sw,"Namaanisha kwamba walikuwa na wana watano, mmoja wao akafa.",Watoto wao wote walinusurika.,70
sw,"Namaanisha kwamba walikuwa na wana watano, mmoja wao akafa.",Mtoto mmoja alikiufa kati ya wale watano.,71
sw,"Namaanisha kwamba walikuwa na wana watano, mmoja wao akafa.",Mtoto aliyekufa alizaliwa akiwa mgonjwa-mgonjwa.,72
sw,"Na, kwa kweli, Androv Gromikov hakujibu kitu chochote, lakini tulikuwa na habari zote kutoka kwa filamu za U2 zilizochukuliwa.",U2 ilichukua filamu nyingi.,73
sw,"Na, kwa kweli, Androv Gromikov hakujibu kitu chochote, lakini tulikuwa na habari zote kutoka kwa filamu za U2 zilizochukuliwa.",U2 walichukua filamu nyingi sana chini ya maji.,74
sw,"Na, kwa kweli, Androv Gromikov hakujibu kitu chochote, lakini tulikuwa na habari zote kutoka kwa filamu za U2 zilizochukuliwa.","Hatukuwa na picha, ilitulazimu kukisia tu.",75
sw,Alisema kwamba machozi ylikuwa yanamtiririka kutoka usoni. Alafu akasema pia Joe alishuka kutoka ukumbini.,Alipokuwa akimwambia aje kwenye ukumbi alikuwa na machozi machoni mwake.,76
sw,Alisema kwamba machozi ylikuwa yanamtiririka kutoka usoni. Alafu akasema pia Joe alishuka kutoka ukumbini.,Kwa haraka alipanguza machozi baada ya kumtupa Joe kutoka kwenye ukumbi.,77
sw,Alisema kwamba machozi ylikuwa yanamtiririka kutoka usoni. Alafu akasema pia Joe alishuka kutoka ukumbini.,Alifurahi sana kuona Joe kwamba alianza kulia.,78
sw,"Hata kama ndege ile ilikuwa inateketea, kwa nini, ingekuwa uh, teketea and ingeweza kuyeyuka kwa sehemu ya risasi ili mionzi kuvuja.",Mionzi inaweza dhibitiwa wakati wa moto pia.,79
sw,"Hata kama ndege ile ilikuwa inateketea, kwa nini, ingekuwa uh, teketea and ingeweza kuyeyuka kwa sehemu ya risasi ili mionzi kuvuja.",Mionzi ingeweza kuvuja kutoka sehemu ya uongozi baada ya ndege kuchomeka.,80
sw,"Hata kama ndege ile ilikuwa inateketea, kwa nini, ingekuwa uh, teketea and ingeweza kuyeyuka kwa sehemu ya risasi ili mionzi kuvuja.",Mionzi haiwezi kuvuja wakati wa moto.,81
sw,Mkuu wa Jeshi Clem Francis astaafu kutoka kitengo cha majeshi ya hewani ya Marekani.,Chifu amestaafu kutoka Jeshi la Anga la Marekani.,88
sw,Mkuu wa Jeshi Clem Francis astaafu kutoka kitengo cha majeshi ya hewani ya Marekani.,Chifu alistaafu hivi karibuni wiki kadhaa zilizopita,89
sw,Mkuu wa Jeshi Clem Francis astaafu kutoka kitengo cha majeshi ya hewani ya Marekani.,Mkuu wa Jeshi la Jeshi la US amenza kazi yake wiki hii.,90
sw,Basi ilifikia mahali kuna ndege mbili ama tatu zinazofika kila wiki na sikujua kwenye zinapaa zikienda.,Zaidi ya ndege moja huwasili kila wiki.,91
sw,Basi ilifikia mahali kuna ndege mbili ama tatu zinazofika kila wiki na sikujua kwenye zinapaa zikienda.,Ujao wa ndege ni shida tupu.,92
sw,Basi ilifikia mahali kuna ndege mbili ama tatu zinazofika kila wiki na sikujua kwenye zinapaa zikienda.,Hakuna ndege yoyote inayowasili.,93
