language,sentence1,sentence2,pairID
ur,اور اس نے کہا امّی، میں گھر آگیا ہوں۔,اسنے اپنی امی کو فوران فون کیا جیسے ھی سکوول بس نے اسے اتارا,1
ur,اور اس نے کہا امّی، میں گھر آگیا ہوں۔,وں ا یک لفز نھی بولا,2
ur,اور اس نے کہا امّی، میں گھر آگیا ہوں۔,اسنی اپنی امی کو بتایا کے وں گھر ھیں,3
ur,مجھے نہیں معلوم تھا کہ میں کیا کرنے جا رہا تھا، تو واشنگٹن میں ایک نامزد جگہ میں اطلاح دینی تھی.,میں کبھی واشنگٹن نہیں گیا/گئی چناں چہ جب میرا وہاں تقرر ہوا تو اس جگہ کی تلاش کرتے کرتے میں گم ہو گیا/گئی۔,16
ur,مجھے نہیں معلوم تھا کہ میں کیا کرنے جا رہا تھا، تو واشنگٹن میں ایک نامزد جگہ میں اطلاح دینی تھی.,میں جانتا تھا کہ واشنگٹن کی طرف روانہ ہونے کے لئے مجھے کیا ضرورت ہے,17
ur,مجھے نہیں معلوم تھا کہ میں کیا کرنے جا رہا تھا، تو واشنگٹن میں ایک نامزد جگہ میں اطلاح دینی تھی.,میں بالکل اس بات کا پتا نہی تھا کہ میں کیا کرنے جا رہا ہوں سو میں واشنگٹن چلا گیا جہاں مجھے رپورٹ کرنے کے لئے تفویض کیا گیا تھا,18
ur,وہ جا نہیں سکا ۔,وہ سب سے پہلے مدعو کرنے والوں میں سے تھا اور وہ بہت لطف اندوز ہوا.,22
ur,وہ جا نہیں سکا ۔,اسے شرکت کرنے کی اجازت نہیں تھی۔,23
ur,وہ جا نہیں سکا ۔,اسے میوزیم کی افتتاحی تقریب میں جانے نہیں دیا گیا۔,24
ur,اور میں یہ سوچ رہا تھا کہ چلو ٹھیک ہے اور بس یہی تھا۔,کے بعد میں نے کہا کہ، یہ ختم ہو گیا,25
ur,اور میں یہ سوچ رہا تھا کہ چلو ٹھیک ہے اور بس یہی تھا۔,Mein ne nahi kaha or wo chalta hi chala giya.,26
ur,اور میں یہ سوچ رہا تھا کہ چلو ٹھیک ہے اور بس یہی تھا۔,جب میں نے ہاں کہا، تو ہم نے فیصلہ کیا کہ اس دن ہم شادی کریں گے,27
ur,میں وہاں صرف گتھی سلجھانے کی کوشش کر رہی تھی۔,میں نے اسے شروع سے ہی اچھی طرح سمجھ لیا تھا۔,31
ur,میں وہاں صرف گتھی سلجھانے کی کوشش کر رہی تھی۔,میں سمجھنے کی کوشش کر رہا تھا/رہی تھی  کہ پیسہ کہاں گیا۔,32
ur,میں وہاں صرف گتھی سلجھانے کی کوشش کر رہی تھی۔,میں سمجھنے کی کوشش کر رہا تھا,33
ur,چال یہ ہے کہ مجھے بستی کا نیا سردار کم اور ان دائیوں میں سے ایک زیادہ سمجھا جائے جنہیں  وان ٹریپ کے بچوں نے ماریہ سے پہلے مار ڈالا تھا۔,وہ ہر روز دورہ کیا کرتے  تھے۔,37
ur,چال یہ ہے کہ مجھے بستی کا نیا سردار کم اور ان دائیوں میں سے ایک زیادہ سمجھا جائے جنہیں  وان ٹریپ کے بچوں نے ماریہ سے پہلے مار ڈالا تھا۔,وہ خاندان کے پاس دوبارہ نہیں گئے.,38
ur,چال یہ ہے کہ مجھے بستی کا نیا سردار کم اور ان دائیوں میں سے ایک زیادہ سمجھا جائے جنہیں  وان ٹریپ کے بچوں نے ماریہ سے پہلے مار ڈالا تھا۔,انہوں نے خاندان کا دورہ کرنا بند کر دیا جب نسلی کشیدگی شروع ہوئی,39
ur,اور نانی نے اس قصہ کو بتانے کے لئے استعمال کیا تھا کہ اس کی بہن اور اس کی بہن کے شوہر نے فیصلہ کیا کہ وہ شہر میں جا رہے تھے،آسٹا کے لئے، اور سفید کے لئے منتقل.,دادی/نانی کی بہن گوری تھیں اور ٹیکساس رہنے لگی تھیں۔,49
ur,اور نانی نے اس قصہ کو بتانے کے لئے استعمال کیا تھا کہ اس کی بہن اور اس کی بہن کے شوہر نے فیصلہ کیا کہ وہ شہر میں جا رہے تھے،آسٹا کے لئے، اور سفید کے لئے منتقل.,گرینی کی بہن سفید نہيں تھی۔,50
ur,اور نانی نے اس قصہ کو بتانے کے لئے استعمال کیا تھا کہ اس کی بہن اور اس کی بہن کے شوہر نے فیصلہ کیا کہ وہ شہر میں جا رہے تھے،آسٹا کے لئے، اور سفید کے لئے منتقل.,nanu ki behan gori nahi thy bulke gora hona chahty thy ta k woh school ja skty han.,51
ur,مائیکل سینٹو آف فائر ویل اور کمپنی کے بفیلو، وہ یہ تھے جہوں نے وہ، اوہ، تیار، اوہ نے اعلی O2 ریگولیٹر کا ایجاد کرنے سے پہلے کہ انہوں نے چولہے پر آگ قابو کرنے والا بنایا۔,سانٹو نیویارک میں رہتا تھا اورہائی 02 ریگولیٹر پر کام کرتا تھا۔,58
ur,مائیکل سینٹو آف فائر ویل اور کمپنی کے بفیلو، وہ یہ تھے جہوں نے وہ، اوہ، تیار، اوہ نے اعلی O2 ریگولیٹر کا ایجاد کرنے سے پہلے کہ انہوں نے چولہے پر آگ قابو کرنے والا بنایا۔,سانتو نے آگ سے تحفظ میں مہارت حاصل کی کیوں کہ یہ اسے پسند تھا۔,59
ur,مائیکل سینٹو آف فائر ویل اور کمپنی کے بفیلو، وہ یہ تھے جہوں نے وہ، اوہ، تیار، اوہ نے اعلی O2 ریگولیٹر کا ایجاد کرنے سے پہلے کہ انہوں نے چولہے پر آگ قابو کرنے والا بنایا۔,سانٹو نے ڈسنی کے لیے کام کیا اور چائے کے کپ کو چلایا۔,60
ur,لیکن وہ تھا، آپ جانتے تھے، بہت سے طریقوں میں، صرف ایک پودے کے مالک کا بیٹا کی طرح ہے کیونکہ وہ اس آدمی کا بیٹا تھا جو ملکیت کی ملکیت ہے.,اس کے والد نے اپنی زندگی میں کچھ بھی نہیں رکھا۔,64
ur,لیکن وہ تھا، آپ جانتے تھے، بہت سے طریقوں میں، صرف ایک پودے کے مالک کا بیٹا کی طرح ہے کیونکہ وہ اس آدمی کا بیٹا تھا جو ملکیت کی ملکیت ہے.,اس کے والد کے پاس 2000 ایکڑ کھیتی کی زمین تھی۔,65
ur,لیکن وہ تھا، آپ جانتے تھے، بہت سے طریقوں میں، صرف ایک پودے کے مالک کا بیٹا کی طرح ہے کیونکہ وہ اس آدمی کا بیٹا تھا جو ملکیت کی ملکیت ہے.,اس کے والد کے پاس بہت زیادہ جائداد تھی۔,66
ur,لیکن میرا کام اس پر پیراشوٹ ڈالنا تھا اور زندگی بچانے والی اشیاء ۔ جب ہم اسے لوڈ کریں گے اور بیرون ملک مقیم جگہ کی طرف سفر شروع کریں گے ۔,.میرے پاس کوئی کام نہیں تھا لہذا میں نے صرف گھر میں تمام ڈبے رکھے,82
ur,لیکن میرا کام اس پر پیراشوٹ ڈالنا تھا اور زندگی بچانے والی اشیاء ۔ جب ہم اسے لوڈ کریں گے اور بیرون ملک مقیم جگہ کی طرف سفر شروع کریں گے ۔,میں نے ڈبے جاپان بھیج دیے,83
ur,لیکن میرا کام اس پر پیراشوٹ ڈالنا تھا اور زندگی بچانے والی اشیاء ۔ جب ہم اسے لوڈ کریں گے اور بیرون ملک مقیم جگہ کی طرف سفر شروع کریں گے ۔,میں نے انھیں پیک کرکے بھیج دیا۔,84
ur,"تو اس طرح میں ، ام، , بیلٹ کے اندر رہتا ہوں۔",میں نے  یقینی بنایا کہ بکسوا تنگ تھا لہذا میں محفوظ رہوں گا,85
ur,"تو اس طرح میں ، ام، , بیلٹ کے اندر رہتا ہوں۔",مجھے بالکل اسی طرح نکالا گیا تھا۔,86
ur,"تو اس طرح میں ، ام، , بیلٹ کے اندر رہتا ہوں۔",بس اسی طرح میں اس سے بندھا تھا/بندھی تھی۔,87
ur,اور وہ دل پھینک تھا اور ہاں وہ شدت پسند تھا اور  اور ہاں تمہیں بتاتی چلوں کے مجھے وہ پسند نہیں تھا لیکن خیر وہ سب میری کہانیاں ہیں۔,وہ بہت وفاشعار اور اچھا تھا.,97
ur,اور وہ دل پھینک تھا اور ہاں وہ شدت پسند تھا اور  اور ہاں تمہیں بتاتی چلوں کے مجھے وہ پسند نہیں تھا لیکن خیر وہ سب میری کہانیاں ہیں۔,مجھے اس سے نفرت تھی کیوں کہ وہ بہت متکبر تھا۔,98
ur,اور وہ دل پھینک تھا اور ہاں وہ شدت پسند تھا اور  اور ہاں تمہیں بتاتی چلوں کے مجھے وہ پسند نہیں تھا لیکن خیر وہ سب میری کہانیاں ہیں۔,میں اس کا/کی پرستار نہیں تھا/تھی۔,99
ur,جب میں کھیج,ہوائی جہاز کے تمام آلات سالم تھے۔,100
ur,جب میں کھیج,اس کو باہر نکالنا بہت مشکل تھا۔,101
ur,جب میں کھیج,ہوائی جہاز میں آلات تھے جو پگھل گئے.,102
ur,اور، وہ واقعی نہیں سمجھی۔,افسوس ہے کہ زبان کے فرق کی وجہ سے وہ واضح طور پر سمجھنے سے قاصر رہی۔,103
ur,اور، وہ واقعی نہیں سمجھی۔,در حقیقت اس نے سمجھا ہی نہیں۔,104
ur,اور، وہ واقعی نہیں سمجھی۔,وہ اچہی طرع جانتی تھی کہ ہم کیا بات کرہے تھے۔,105
ur,شاید اس نے ہر کسی کو بتایا اور میں اس مخصوص وقت پر توجہ نہیں دے رہا تھا,جب وہ باقی سب کو بتارہی تھی تب میں نے نہیں سنا۔,115
ur,شاید اس نے ہر کسی کو بتایا اور میں اس مخصوص وقت پر توجہ نہیں دے رہا تھا,اس نے جو کچھ کہا وہ سب میں نے سن لیا۔,116
ur,شاید اس نے ہر کسی کو بتایا اور میں اس مخصوص وقت پر توجہ نہیں دے رہا تھا,Mein kisi or se bhi baat kar raha tha us waqt.,117
ur,صرف دو کھو دیا،ہم وہاں موجود تین طیارے، اور،ٹیسٹ کا مرحلہ.,کچھ جہاز موسم کی وجع سے غآۂب ہو گۂی,121
ur,صرف دو کھو دیا،ہم وہاں موجود تین طیارے، اور،ٹیسٹ کا مرحلہ.,کئی سارے جہاز ختم ہوگئے۔,122
ur,صرف دو کھو دیا،ہم وہاں موجود تین طیارے، اور،ٹیسٹ کا مرحلہ.,ہم نے کبھی ایک جہاز بھی نہیں کھویا ہے۔,123
ur,مجھے آپ سے ایک کام ہے,مجھے کوئی مدد نہیں ہے,124
ur,مجھے آپ سے ایک کام ہے,یہ ایک بڑی نوکری ہے جو مجھے کی ضرورت ہے.,125
ur,مجھے آپ سے ایک کام ہے,مجھے کچھ کرنے کی ضرورت ہے,126
ur,مختلف، مکمل طور پر مختلف قسم کے پیراشوس اور ایک پرندوں میں جو پرواز کرتا ہے، uh، آواز کی رفتار تین گنا، فی گھنٹہ 22،000 میل سے زیادہ.,یہ ایک گھنٹے میں 20،000 میل سے زیادہ پرواز کرتا ہے.,136
ur,مختلف، مکمل طور پر مختلف قسم کے پیراشوس اور ایک پرندوں میں جو پرواز کرتا ہے، uh، آواز کی رفتار تین گنا، فی گھنٹہ 22،000 میل سے زیادہ.,"ye sirf aik ghantey mein 10,000 miles safar krta hai.",137
ur,مختلف، مکمل طور پر مختلف قسم کے پیراشوس اور ایک پرندوں میں جو پرواز کرتا ہے، uh، آواز کی رفتار تین گنا، فی گھنٹہ 22،000 میل سے زیادہ.,جیٹ ایک گھنٹہ میں 20000 میل سفر کرتا ہے۔,138
ur,ہمارے پاس رودلف ایندرسن تھا ، یو-ٹو کے تین قیام میں,روڈولف انڈرسن کہیں نہیں ملا‏، اس لیے ہے ہم نے صرف ایک ہی U2 لیا۔,139
ur,ہمارے پاس رودلف ایندرسن تھا ، یو-ٹو کے تین قیام میں,روڈولف اینڈرسن تین یو دو کے حصہ تھے.,140
ur,ہمارے پاس رودلف ایندرسن تھا ، یو-ٹو کے تین قیام میں,خوش قسمتی سے ہمیں یو2 کے ساتھ روڈولف انڈرسن کی مدد حاصل ہوئی۔,141
ur,وہ ابھی بھی وہاں تھی,وہ چلی گئی اور اس کا کچھ اتہ پتہ نہ رہا۔,145
ur,وہ ابھی بھی وہاں تھی,woh abi bhi qareebi illaqey mein thy.,146
