translated_sentence1	translated_sentence2	pairID
Well, I didn’t think about it, but I was very disappointed, and, finally, I continued to talk to him again.	I am not talking to him anymore.	4
Well, I didn’t think about it, but I was very disappointed, and, finally, I continued to talk to him again.	I was so sad that I started talking to him again.	5
Well, I didn’t think about it, but I was very disappointed, and, finally, I continued to talk to him again.	We had a good discussion.	6
I thought it was an opportunity, and yet, still, I was the only two-two Ex-O that was my AFFC Air Force Career.	I didn’t know that I was not the only one to be in the world today.	7
I thought it was an opportunity, and yet, still, I was the only two-two Ex-O that was my AFFC Air Force Career.	I was under the feeling that I was the only one with that number in the AFFC Air Force Working Stadium.	8
I thought it was an opportunity, and yet, still, I was the only two-two Ex-O that was my AFFC Air Force Career.	We all were given the same number regardless of the pollution we promised to be given, it was a lie.	9
They told me that I eventually got a family with whom we met.	I was not told anything about meeting anyone.	10
They told me that I eventually got a family with whom we met.	I was told that someone would be sent to me.	11
They told me that I eventually got a family with whom we met.	He came to know it.	12
There are a lot of things you can talk about, but I’ll just leave it.	I want to tell you everything I know about it.	13
There are a lot of things you can talk about, but I’ll just leave it.	I will not talk about it, though there is a lot to hide.	14
There are a lot of things you can talk about, but I’ll just leave it.	I can't see the history of the city because there's a lot to say.	15
This was the basic thing we had to save because it was not possible to deliver a 20 megaton hydrogen bomb to C124.	We did not think about saving anything.	19
This was the basic thing we had to save because it was not possible to deliver a 20 megaton hydrogen bomb to C124.	We wanted to save one more than the other.	20
This was the basic thing we had to save because it was not possible to deliver a 20 megaton hydrogen bomb to C124.	We wanted to save the H bomb because it was very difficult to cope with it.	21
So I don’t really know why.	I am sure of the reason.	28
So I don’t really know why.	I don’t know why he went to school.	29
So I don’t really know why.	I don’t know why it happened.	30
It's Fannie Flono, and she's born Ag - Augusta, GA, and she'll come to talk about some of the stories from her childhood.	Fannie Flono repeated the story and can't tell any of the stories today.	34
It's Fannie Flono, and she's born Ag - Augusta, GA, and she'll come to talk about some of the stories from her childhood.	Fannie Flono is here and will talk about her childhood stories from growing up in Augusta, GA.	35
It's Fannie Flono, and she's born Ag - Augusta, GA, and she'll come to talk about some of the stories from her childhood.	Fannie Flono was able to talk to us despite his constitutional activity.	36
And I was putting, five doors out of the U2.	I’m in the U2.	40
And I was putting, five doors out of the U2.	I did not work with U2.	41
And I was putting, five doors out of the U2.	I worked with the U2 troops every day for four decades.	42
It’s the only thing I’ve uploaded it, I’ve never deleted the test screens in the ‘miniature altitude’ room.	I didn’t like to be the only one to run the exam managers.	43
It’s the only thing I’ve uploaded it, I’ve never deleted the test screens in the ‘miniature altitude’ room.	The experiment was done with miniature altitude chambers.	44
It’s the only thing I’ve uploaded it, I’ve never deleted the test screens in the ‘miniature altitude’ room.	There were a few of us who fled the managers for the test.	45
The secretary-general, as Rick said.	I have been working until today.	46
The secretary-general, as Rick said.	I died in 2002.	47
The secretary-general, as Rick said.	Rick told me I was going back.	48
There are estimates of money flow on my donation and, u, uh, is for and like Cutty, is the name of the client.	Cutty’s client earns $10,000 a month.	52
There are estimates of money flow on my donation and, u, uh, is for and like Cutty, is the name of the client.	There is a client who is Cutty.	53
There are estimates of money flow on my donation and, u, uh, is for and like Cutty, is the name of the client.	We have no customers called Cutty.	54
This girl can help you go wherever you are in the city.	The girl I need help from her lives away.	55
This girl can help you go wherever you are in the city.	A girl who will help me 5 miles away.	56
This girl can help you go wherever you are in the city.	No one can help me.	57
They wondered who they were young hands and who they were young winners at home.	They agreed to work all in the field.	61
They wondered who they were young hands and who they were young winners at home.	They don't know who was in the room and the bedroom.	62
They wondered who they were young hands and who they were young winners at home.	They could not agree who was required to work in the cotton field and who was required to crush the deck plate.	63
Today we will talk about the troops of Third SS, U2 Quick and Blackbird.	He decided not to talk again.	67
Today we will talk about the troops of Third SS, U2 Quick and Blackbird.	They are talking about three different types of submarines.	68
Today we will talk about the troops of Third SS, U2 Quick and Blackbird.	He talks about three things.	69
I mean they had five sons, one of them died.	All of their children were dismissed.	70
I mean they had five sons, one of them died.	There was one of the five children.	71
I mean they had five sons, one of them died.	The deceased child was born sick.	72
And, indeed, Androv Gromikov didn’t answer anything, but we had all the information from the U2 films taken.	U2 took a lot of movies.	73
And, indeed, Androv Gromikov didn’t answer anything, but we had all the information from the U2 films taken.	U2 took a lot of movies under the water.	74
And, indeed, Androv Gromikov didn’t answer anything, but we had all the information from the U2 films taken.	We didn’t have a picture, we just heard it.	75
He said that the eyes were driven from the back. Alafu also said that Joe dropped from the back.	When he told him to go to the room, he had eyes in his eyes.	76
He said that the eyes were driven from the back. Alafu also said that Joe dropped from the back.	She quickly shut her eyes after leaving Joe out of the room.	77
He said that the eyes were driven from the back. Alafu also said that Joe dropped from the back.	He was very pleased to see Joe that he started right.	78
Even if the airplane was defending, why, would it be uh, defending and would be able to crush to the part of the shot so that the airplane flows.	The fire can also be destroyed during fire.	79
Even if the airplane was defending, why, would it be uh, defending and would be able to crush to the part of the shot so that the airplane flows.	The aircraft will be able to land from the headquarters after the aircraft collapses.	80
Even if the airplane was defending, why, would it be uh, defending and would be able to crush to the part of the shot so that the airplane flows.	The lightning cannot be burned in the fire.	81
Captain Clem Francis resigns from the U.S. Air Force.	She was removed from the U.S. Air Force.	88
Captain Clem Francis resigns from the U.S. Air Force.	Chief has stopped a few weeks ago	89
Captain Clem Francis resigns from the U.S. Air Force.	The head of the U.S. Army resigned his job this week.	90
So it came to a place where there were two or three flights coming every week and I don’t know where they come.	More than one aircraft arrives every week.	91
So it came to a place where there were two or three flights coming every week and I don’t know where they come.	The future of the aircraft is crazy.	92
So it came to a place where there were two or three flights coming every week and I don’t know where they come.	There is no aircraft.	93
And they had already their exercises in the main squad and it took me as long as you would go to the full squad.	It takes three months to complete training on the use of a full pressure juice.	94
And they had already their exercises in the main squad and it took me as long as you would go to the full squad.	Training to use a full pressure set takes time.	95
And they had already their exercises in the main squad and it took me as long as you would go to the full squad.	We will be able to learn how to use a full pressure set at the end of the day.	96
I want to say that there was no danger of entering the bomb because it could not collapse, even if it collapsed to the ground.	The bomb was struck by a rubber.	106
I want to say that there was no danger of entering the bomb because it could not collapse, even if it collapsed to the ground.	The bomb was unable to explode.	107
I want to say that there was no danger of entering the bomb because it could not collapse, even if it collapsed to the ground.	There was a great danger of bombing.	108
And how is it right and I try to do it.	I don’t think it looks like you.	109
And how is it right and I try to do it.	I try to do this, clearly.	110
And how is it right and I try to do it.	I'm trying to finish my project next week.	111
But yet, the animals would be free all the time, especially the sheep.	He was shut down every day.	112
But yet, the animals would be free all the time, especially the sheep.	They were repeatedly scattered.	113
But yet, the animals would be free all the time, especially the sheep.	They were kept safe.	114
The door was closed when we entered.	All the doors were open.	118
The door was closed when we entered.	We were in our hands.	119
The door was closed when we entered.	We entered even though the doors were closed.	120
So I just needed to take the whole and try and see so.	I feel hopeful that it is all I need to solve this.	127
So I just needed to take the whole and try and see so.	I don't have any clues to do with the general only please find out more about solving this fool.	128
So I just needed to take the whole and try and see so.	I will count on a general basis.	129
He came up, opened the door and I remembered looking back and seeing the 'descriptions' on his face, and I could say he was regretted.	He was so excited and fled with joy that he had turned the door from his bridge.	130
He came up, opened the door and I remembered looking back and seeing the 'descriptions' on his face, and I could say he was regretted.	He tried not to accuse guilt but we knew we caused trouble.	131
He came up, opened the door and I remembered looking back and seeing the 'descriptions' on his face, and I could say he was regretted.	Just looking at his face when he came through the door I just knew that he was down.	132
There is no special story.	There is a certain thing.	133
There is no special story.	I have a special one.	134
There is no special story.	There are many shops.	135
And it was, he never had to do anything for himself.	He has a lot of support.	142
And it was, he never had to do anything for himself.	He receives food and clothes.	143
And it was, he never had to do anything for himself.	He is a completely free man.	144
So I was like, Oh my god, and Ramona was standing there.	Ramona was in the tabernacle while leaving the main place.	148
So I was like, Oh my god, and Ramona was standing there.	Ramona had been looking forward to it.	149
So I was like, Oh my god, and Ramona was standing there.	Ramona didn't stop when I was afraid	150
And the truth is that he was quick!	He ate a lot of food, but he was still low-weight.	154
And the truth is that he was quick!	He was not too heavy.	155
And the truth is that he was quick!	He was very happy.	156
I don't know if Augustus came after that.	He continued to live in Augusta even after the attack.	163
I don't know if Augustus came after that.	He lived in August.	164
I don't know if Augustus came after that.	He took Augustus once.	165
We all did, they didn’t tell us where they were going, even when they left the camp to a place where they might stay for a while.	I didn’t ask where they went.	166
We all did, they didn’t tell us where they were going, even when they left the camp to a place where they might stay for a while.	They always told us where they came and where they went.	167
We all did, they didn’t tell us where they were going, even when they left the camp to a place where they might stay for a while.	He never told us when they were going.	168
They said, We will go where you want to live.	They don’t give anything for our behalf.	175
They said, We will go where you want to live.	They give the house for me and my brothers.	176
They said, We will go where you want to live.	They are houses.	177
The following day President Kennedy arrested Cuba and our ships stopped one of the Russian ships was toward Cuba and they got domestic refugees.	Kennedy told our soldiers to explore the missiles.	178
The following day President Kennedy arrested Cuba and our ships stopped one of the Russian ships was toward Cuba and they got domestic refugees.	They didn’t stop any ship because they didn’t want a shipping.	179
The following day President Kennedy arrested Cuba and our ships stopped one of the Russian ships was toward Cuba and they got domestic refugees.	There were 20 boats on board.	180
Man goes into all things.	He entered the court room.	181
Man goes into all things.	The man went into the house.	182
Man goes into all things.	The man went on a different way.	183
My ancestors were very loving people and some of my parents had a very good time to stay with them.	It took a long time to drive the car to my grandfather's house.	184
My ancestors were very loving people and some of my parents had a very good time to stay with them.	My parents were loved ones.	185
My ancestors were very loving people and some of my parents had a very good time to stay with them.	Our grandmother and grandmother were angry all the time and didn’t like to go to them.	186
I didn’t have time to go into anything.	I will enter it later.	196
I didn’t have time to go into anything.	I put it all at a time.	197
I didn’t have time to go into anything.	I lost time to put everything inside.	198
One of my tasks was to teach people how to put the weapons on the nuclear weapons that make the bomb shut down.	The atomic bomb is the founder.	199
One of my tasks was to teach people how to put the weapons on the nuclear weapons that make the bomb shut down.	The room throws out the bomb when it is shut down.	200
One of my tasks was to teach people how to put the weapons on the nuclear weapons that make the bomb shut down.	You just need a little power to remove the atomic bomb trigger.	201
My grandmother had told me a lot of stories about her years when she was big, especially, oh, she was talking about her family, and how it was at the time.	I was very pleased to listen to my stories.	202
My grandmother had told me a lot of stories about her years when she was big, especially, oh, she was talking about her family, and how it was at the time.	My mother refused to talk about her childhood.	203
My grandmother had told me a lot of stories about her years when she was big, especially, oh, she was talking about her family, and how it was at the time.	My Nyanya told me a lot about his family when he grew up.	204
The major pressure is worth the aircraft,that they have the air more suitable than our empty money,pay money from cats to everything,prevent the heat.	We were not like the scientists.	205
The major pressure is worth the aircraft,that they have the air more suitable than our empty money,pay money from cats to everything,prevent the heat.	Our clothes were equal to the boys unless we followed the heat, we were money.	206
The major pressure is worth the aircraft,that they have the air more suitable than our empty money,pay money from cats to everything,prevent the heat.	You can put them in the colour of anyone you have.	207
And he was, my grandfather was not a good man.	My puppy was strong.	208
And he was, my grandfather was not a good man.	My brother was colorful and soft.	209
And he was, my grandfather was not a good man.	He was a very good man to meet him!	210
It’s 30 or 40 U2 aircraft, and we started training experiments of Chinese ships, British ships within them, around the world, the world we were partners with.	We had no training with anyone.	211
It’s 30 or 40 U2 aircraft, and we started training experiments of Chinese ships, British ships within them, around the world, the world we were partners with.	We studied five weeks and stayed.	212
It’s 30 or 40 U2 aircraft, and we started training experiments of Chinese ships, British ships within them, around the world, the world we were partners with.	We and many other soldiers.	213
So, he was like, we’ll look, and do an investigation in a certain company for a certain.	and no union.	214
So, he was like, we’ll look, and do an investigation in a certain company for a certain.	He told me to look at some things.	215
So, he was like, we’ll look, and do an investigation in a certain company for a certain.	He told me about his financial affairs.	216
He said they went to the north.	He said he had been on the road several times.	217
He said they went to the north.	He said they went down to the south.	218
He said they went to the north.	He said they went to the north.	219
Oh, not, to be faithful, I have never read all the books I had to read.	I am not reading a book of more than 100 pages.	235
Oh, not, to be faithful, I have never read all the books I had to read.	I do not read a lot of books.	236
Oh, not, to be faithful, I have never read all the books I had to read.	I read books every day.	237
I went and took the back burden and looked at the address I needed.	I left the bag and thought it was not my problem.	238
I went and took the back burden and looked at the address I needed.	I took the bag in his room.	239
I went and took the back burden and looked at the address I needed.	I took the package until it was done.	240
The change in mind was strange.	His feelings remained completely consistent.	241
The change in mind was strange.	He came to happiness to sadness.	242
The change in mind was strange.	My minds changed very much.	243
They, they chose over 15 people there, went to the school and I didn’t.	He was not elected to attend the school.	244
They, they chose over 15 people there, went to the school and I didn’t.	I was chosen to go to school.	245
They, they chose over 15 people there, went to the school and I didn’t.	I was a more reliable candidate.	246
They should go through several rooms of height, uh, climb before starting to climb with U2's or go down to the breathing vessels.	Many people fall the test and never travel through the U2.	247
They should go through several rooms of height, uh, climb before starting to climb with U2's or go down to the breathing vessels.	They need to take a lot of training, before they can run the U2 type balance.	248
They should go through several rooms of height, uh, climb before starting to climb with U2's or go down to the breathing vessels.	The U2s will be released on the first day.	249
I’m also looking forward to that.	I’m looking forward to new materials.	253
I’m also looking forward to that.	I treat things like other magazines.	254
I’m also looking forward to that.	I’m talking about what they’ve done.	255
This was the first time it did not happen 75 years ago as TX made a law voting to approve a group of soldiers as ambassadors of TX, so they wanted ambassadors of TX.	Military buildings are not allowed to be TX ambassadors.	256
This was the first time it did not happen 75 years ago as TX made a law voting to approve a group of soldiers as ambassadors of TX, so they wanted ambassadors of TX.	The military facility was appointed as representative of TX to the US Congress.	257
This was the first time it did not happen 75 years ago as TX made a law voting to approve a group of soldiers as ambassadors of TX, so they wanted ambassadors of TX.	This army facility was called TX Ambassadors.	258
If there is anything I can do.	I can do something.	259
If there is anything I can do.	I knew nothing I could do.	260
If there is anything I can do.	I think I’m doing something to save them.	261
He hated it, and he was telling her sister every day, he said that he was doing wrong.	He was in the heart of his father.	262
